symbol,price,price_change,price_percent_change
CRVO,6.17,3.81,161.44
ZENA,4.57,1.76,62.63
OPRX,6.28,2.14,51.69
GRPN,13.98,4.21,43.09
SNCR,9.98,2.85,39.97
UBXG,3.11,0.73,30.67
ECX,3.25,0.76,30.52
MASS,4.46,1.0,28.9
GV,6.22,1.27,25.66
SATL,3.65,0.7,23.73
CURI,2.53,0.42,19.91
HMR,2.55,0.42,19.72
MDCX,3.12,0.51,19.54
FTK,8.75,1.34,18.08
BWMN,22.01,3.21,17.07
IONQ,21.82,3.12,16.68
CXM,9.42,1.34,16.58
CRDF,4.15,0.57,15.92
ATYR,3.55,0.48,15.64
PTHL,3.8,0.5,15.15
AAOI,17.3,2.23,14.8
QUBT,5.42,0.69,14.59
LUNR,7.42,0.94,14.51
BDMD,5.29,0.67,14.5
CYN,4.38,0.55,14.36
DUOT,5.76,0.7,13.83
WGRX,2.89,0.35,13.78
SEI,25.26,3.03,13.63
ARQQ,13.39,1.58,13.38
ZBIO,8.21,0.96,13.24
EHLDV,20.0,2.3,12.99
NOTV,2.91,0.33,12.79
TLN,199.09,22.53,12.76
YOSH,14.88,1.68,12.73
EXOD,27.56,3.06,12.49
PDYN,6.87,0.73,11.98
TG,7.59,0.81,11.95
RAPP,10.01,1.05,11.72
UNFI,27.44,2.87,11.68
NBIS,28.4,2.95,11.59
VKTX,29.55,3.03,11.43
EBS,6.16,0.63,11.39
TREE,45.83,4.68,11.37
AQST,2.94,0.3,11.36
INOD,46.6,4.72,11.27
AMBI,4.14,0.42,11.19
RGTI,8.95,0.9,11.18
BLND,3.69,0.37,11.14
ETNB,8.35,0.81,10.74
VIST,47.23,4.53,10.61
ATXS,7.14,0.67,10.36
TGS,26.76,2.49,10.26
RNA,32.61,3.03,10.24
QMCO,11.26,1.03,10.07
QSG,2.85,0.26,10.04
ICLK,9.24,0.84,10.0
GEO,25.95,2.34,9.91
SSSS,5.79,0.52,9.87
ACHR,7.48,0.67,9.77
CRDO,47.53,4.17,9.62
CDTX,23.0,2.0,9.52
BLBX,3.0,0.26,9.49
LXEO,2.91,0.25,9.4
RGNX,6.67,0.56,9.17
TLS,2.83,0.23,9.06
EHTH,8.31,0.69,9.06
TECX,24.62,2.02,8.94
ODC,49.64,4.04,8.87
TELO,4.94,0.4,8.81
ARVN,9.03,0.73,8.8
JANX,31.81,2.56,8.75
QBTS,5.85,0.47,8.74
SUPV,13.7,1.1,8.73
GLUE,6.64,0.53,8.67
CRGO,2.41,0.19,8.56
DCGO,3.05,0.24,8.54
XMTR,25.64,2.0,8.46
UPLD,3.1,0.24,8.39
OMER,8.01,0.62,8.39
SVC,2.6,0.2,8.33
CLF,9.77,0.75,8.31
ADVM,4.84,0.37,8.28
NL,7.37,0.56,8.22
MODG,6.13,0.46,8.11
AMTM,18.41,1.37,8.04
SERV,7.53,0.56,8.03
IBTA,42.21,3.13,8.01
RKT,14.24,1.05,8.0
ARCT,14.26,1.04,7.91
INBX,14.67,1.07,7.87
UPB,9.23,0.67,7.83
VRNA,67.6,4.9,7.81
SPCB,7.62,0.55,7.78
CPIX,5.57,0.4,7.74
REAL,5.86,0.42,7.72
SEZL,237.34,16.84,7.64
SMMT,19.91,1.41,7.62
TSLA,248.09,17.51,7.59
UMAC,6.12,0.43,7.56
CURR,2.99,0.21,7.55
