symbol,price,price_change,price_percent_change
PAY,30.82,0.07,0.23
ZK,31.5,-1.34,4.08
XPEV,24.96,-1.38,5.24
RDDT,133.88,11.15,9.08
KC,17.99,-0.1,0.55
BE,25.83,0.83,3.32
TEVA,16.19,0.09,0.56
MSTR,266.61,6.02,2.31
IAG,5.54,-0.01,0.25
MDB,203.79,8.09,4.13
SARO,28.55,0.01,0.04
APP,291.0,33.24,12.86
LITE,65.98,3.93,6.33
OKLO,27.49,2.02,7.93
CORZ,8.93,0.3,3.48
MTN,165.72,0.3,0.18
KFY,67.27,4.75,7.6
ORLA,7.78,-0.03,0.32
SMCI,44.14,3.3,8.08
TSLA,245.07,14.49,6.28
TEM,49.03,3.45,7.57
LI,28.74,-0.75,2.54
COIN,196.24,4.55,2.37
TXNM,51.18,3.31,6.91
IMPUY,6.65,0.43,6.91
ICUI,144.25,5.26,3.78
CRWD,344.36,14.61,4.43
ROOT,143.47,7.58,5.56
ALAB,70.79,4.74,7.18
CLS,91.91,5.32,6.14
TWST,40.07,0.94,2.4
VRT,89.25,6.13,7.37
TLN,195.0,18.44,10.44
STEP,51.88,0.98,1.93
BHVN,30.01,0.6,2.04
CVNA,184.45,12.23,7.1
KGS,37.04,1.74,4.93
ETN,299.11,16.8,5.95
UEC,5.34,0.28,5.57
QFIN,40.87,0.12,0.29
IRTC,103.92,0.0,0.0
AROC,24.87,0.81,3.38
CYBR,343.43,12.48,3.77
KGC,11.16,-0.01,0.09
AFRM,50.38,3.61,7.72
ACVA,14.51,0.73,5.3
NTRA,147.28,7.26,5.18
MMYT,92.47,2.81,3.14
LIVN,39.4,0.34,0.87
X,37.58,0.52,1.4
HL,5.39,-0.03,0.64
VST,121.43,7.07,6.19
IOT,35.9,1.84,5.4
ASND,146.75,1.12,0.77
DY,149.12,5.0,3.53
PKX,53.49,2.68,5.29
FN,201.12,3.32,1.68
GEV,307.49,23.28,8.19
AKRO,44.94,1.12,2.56
RGTI,8.55,0.5,6.21
NVCR,21.41,0.09,0.4
SWTX,51.38,0.49,0.96
BURBY,13.49,0.64,4.98
EQX,6.51,-0.06,0.91
BZ,18.15,-0.12,0.68
NVDA,114.51,5.76,5.3
BABA,138.16,-0.86,0.62
MIR,14.43,0.26,1.8
FNMA,5.19,0.24,4.85
LMND,36.22,1.94,5.68
NET,124.96,4.89,4.07
KVYO,33.42,0.17,0.51
NU,10.92,0.32,3.02
BTSG,17.5,0.71,4.23
CCJ,43.82,2.09,5.01
CRDO,46.36,3.0,6.92
NBIS,27.23,1.77,6.97
INTC,20.9,1.12,5.66
BVN,13.63,0.59,4.52
CFLT,26.71,1.21,4.75
FSLR,139.69,0.59,0.42
IESC,178.8,9.25,5.46
AS,26.75,1.15,4.49
NRG,91.5,2.88,3.24
ADMA,18.16,0.81,4.64
USM,64.92,0.38,0.59
ODD,43.96,-0.34,0.77
LNSTY,36.44,1.54,4.41
MTDR,47.36,0.36,0.77
NSANY,5.95,0.25,4.39
XIACF,6.95,0.29,4.35
CHWY,34.61,1.41,4.24
ANGPY,6.55,0.27,4.3
RNW,6.09,0.02,0.33
JHG,38.44,0.75,1.98
NUVL,70.3,0.05,0.07
TFPM,18.15,0.74,4.25
MTZ,119.75,5.28,4.61
CNTA,16.84,0.37,2.25
DKNG,40.53,1.87,4.84
KKR,116.83,4.72,4.21
ATGE,97.0,3.34,3.57
VNET,11.77,-0.14,1.22
MTSI,103.89,2.96,2.93
WAY,37.91,0.95,2.58
RKLB,19.11,1.28,7.18
ANET,82.57,3.44,4.35
COHR,69.6,3.12,4.71
SITM,163.76,7.37,4.71
PLMR,133.21,2.0,1.53
TOST,34.88,1.43,4.29
FCX,36.69,0.81,2.26
BA,157.94,3.88,2.52
IVPAF,9.4,0.36,3.98
XIACY,34.5,1.32,3.98
PWR,256.97,10.94,4.45
SPOT,546.71,38.27,7.53
VEOEY,17.0,0.64,3.91
HCC,49.3,0.42,0.86
RBRK,59.26,5.44,10.1
SHOP,96.73,3.78,4.07
CMC,45.64,0.77,1.72
SG,26.24,1.4,5.64
ACA,81.5,2.95,3.76
MNDY,252.97,10.15,4.18
MPW,5.91,0.21,3.6
GTLB,53.9,1.96,3.77
AEM,100.83,0.26,0.26
GWRE,177.3,4.48,2.59
MOD,80.07,2.8,3.62
FRPT,86.47,2.69,3.21
ASX,9.76,0.29,3.06
AMG,163.32,3.1,1.93
EVR,199.84,2.87,1.46
CLSK,8.51,0.24,2.97
PODD,248.47,3.12,1.27
BKU,33.15,0.7,2.16
QTWO,75.83,1.99,2.7
BYDDF,45.0,1.5,3.45
EQT,49.65,0.54,1.11
PSTG,50.28,1.65,3.39
SRAD,20.77,0.64,3.19
AR,36.32,0.46,1.28
AVGO,197.61,7.52,3.96
NOW,837.95,29.55,3.66
ISRG,511.39,17.67,3.58
ET,18.21,0.38,2.13
BUR,13.63,0.35,2.63
AAON,85.0,2.61,3.17
TWLO,104.15,4.07,4.07
YMM,12.9,0.32,2.58
FG,40.88,0.47,1.15
IBKR,176.14,5.8,3.41
APO-PA,70.25,2.15,3.16
BX,143.54,5.4,3.91
CEG,220.54,11.96,5.73
TECK,40.02,1.5,3.9
LUMN,5.02,0.15,3.08
ELV,419.04,-3.01,0.71
BROS,62.83,2.66,4.41
GEO,24.46,0.85,3.6
