,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,56.20 +17.85 (+46.54%),17.85,+46.54%,3.168M,725662,3.45B,13.29,27.32%,
1,VRN,Veren Inc.,,5.62 +0.72 (+14.55%),0.72,+14.55%,38.62M,16.737M,3.462B,17.58,-34.97%,
2,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.83 +2.54 (+9.31%),2.54,+9.31%,3.05M,2.069M,4.559B,271.18,50.44%,
3,ELF,"e.l.f. Beauty, Inc.",,77.01 +6.33 (+8.96%),6.33,+8.96%,2.565M,2.645M,4.344B,46.12,-63.56%,
4,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
5,MWA,"Mueller Water Products, Inc.",,27.09 +2.04 (+8.13%),2.04,+8.13%,2.195M,1.336M,4.242B,31.13,59.35%,
6,BECN,"Beacon Roofing Supply, Inc.",,119.50 +8.40 (+7.56%),8.4,+7.56%,2.52M,821962,7.359B,21.04,30.12%,
7,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.99 +0.97 (+7.47%),0.97,+7.47%,1.855M,1.975M,78.221M,-,-98.87%,
8,ENPH,"Enphase Energy, Inc.",,66.10 +4.47 (+7.25%),4.47,+7.25%,2.889M,4.035M,8.756B,88.13,-52.11%,
9,AAP,"Advance Auto Parts, Inc.",,37.42 +2.06 (+5.81%),2.06,+5.81%,1.967M,2.144M,2.238B,-,-53.32%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.62 +0.50 (+5.48%),0.5,+5.48%,89155,201637,29.397B,4.98,31.27%,
11,HOG,"Harley-Davidson, Inc.",,27.45 +1.36 (+5.21%),1.36,+5.21%,2.299M,2.09M,3.419B,7.98,-33.14%,
12,WSC,WillScot Holdings Corporation,,29.52 +1.45 (+5.17%),1.45,+5.17%,3.498M,2.445M,5.419B,196.80,-39.04%,
13,BLTE,"Belite Bio, Inc",,66.35 +3.16 (+5.00%),3.16,+5.00%,111308,39818,2.113B,-,41.68%,
14,TTC,The Toro Company,,76.79 +3.54 (+4.84%),3.54,+4.84%,756630,1.078M,7.666B,19.64,-17.41%,
15,SCI,Service Corporation International,,84.76 +3.90 (+4.82%),3.9,+4.82%,755598,1.141M,12.223B,24.01,7.66%,
16,REGN,"Regeneron Pharmaceuticals, Inc.",,740.36 +32.85 (+4.64%),32.85,+4.64%,584173,899898,80.94B,19.31,-26.64%,
17,NSP,"Insperity, Inc.",,94.44 +4.08 (+4.52%),4.08,+4.52%,302806,439558,3.516B,39.02,-10.39%,
18,ETSY,"Etsy, Inc.",,49.00 +2.20 (+4.70%),2.2,+4.70%,2.222M,3.736M,5.247B,20.85,-35.82%,
19,AES,The AES Corporation,,11.74 +0.49 (+4.36%),0.49,+4.36%,8.444M,15.023M,8.348B,4.95,-31.36%,
20,HCA,"HCA Healthcare, Inc.",,344.46 +14.31 (+4.33%),14.31,+4.33%,1.138M,1.613M,85.544B,15.66,2.77%,
21,COTY,Coty Inc.,,6.11 +0.26 (+4.44%),0.26,+4.44%,2.525M,6.507M,5.328B,-,-53.86%,
22,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.19 +0.25 (+4.21%),0.25,+4.21%,18922,264724,28.195B,13.17,-32.54%,
23,CBT,Cabot Corporation,,88.64 +3.76 (+4.43%),3.76,+4.43%,226929,423451,4.806B,11.80,-3.76%,
24,RMD,ResMed Inc.,,242.20 +9.76 (+4.20%),9.76,+4.20%,630173,930212,35.57B,28.63,22.50%,
25,EQNR,Equinor ASA,,24.14 +0.97 (+4.16%),0.97,+4.16%,3.196M,3.958M,65.548B,7.76,-10.47%,
26,MKC,"McCormick & Company, Incorporated",,86.12 +3.50 (+4.24%),3.5,+4.24%,1.644M,1.954M,23.1B,29.49,18.21%,
27,CTSH,Cognizant Technology Solutions Corporation,,86.62 +3.39 (+4.07%),3.39,+4.07%,4.166M,3.387M,42.844B,19.21,8.15%,
28,DFH,"Dream Finders Homes, Inc.",,26.46 +1.09 (+4.30%),1.09,+4.30%,231819,552039,2.472B,7.92,-33.85%,
29,COLM,Columbia Sportswear Company,,87.27 +3.31 (+3.94%),3.31,+3.94%,392651,649450,4.83B,22.85,5.59%,
30,MEDP,"Medpace Holdings, Inc.",,345.82 +13.01 (+3.91%),13.01,+3.91%,243017,289586,10.536B,27.42,-17.49%,
31,SMCAY,SMC Corporation,,19.60 +0.75 (+3.98%),0.75,+3.98%,32148,646891,24.987B,23.06,-35.33%,
32,TSCO,Tractor Supply Company,,59.09 +2.20 (+3.87%),2.2,+3.87%,2.686M,5.282M,31.409B,28.97,14.29%,
33,WES,"Western Midstream Partners, LP",,40.41 +1.49 (+3.83%),1.49,+3.83%,794553,1.329M,15.409B,10.05,14.50%,
34,NOG,"Northern Oil and Gas, Inc.",,28.54 +1.05 (+3.82%),1.05,+3.82%,1.047M,1.667M,2.829B,5.55,-25.20%,
35,ADM,Archer-Daniels-Midland Company,,51.33 +1.89 (+3.82%),1.89,+3.82%,2.95M,3.641M,24.623B,14.06,-9.96%,
36,CWEN-A,"Clearway Energy, Inc.",,26.88 +0.96 (+3.70%),0.96,+3.70%,252487,192033,5.654B,35.84,25.10%,
37,BF-B,Brown-Forman Corporation,,38.31 +1.38 (+3.74%),1.38,+3.74%,2.085M,3.267M,18.048B,18.33,-33.05%,
38,CPB,The Campbell's Company,,43.36 +1.55 (+3.71%),1.55,+3.71%,1.649M,3.171M,12.929B,25.06,-2.79%,
39,NOC,Northrop Grumman Corporation,,503.54 +17.02 (+3.50%),17.02,+3.50%,662144,926800,72.89B,17.76,5.94%,
40,LNTH,"Lantheus Holdings, Inc.",,110.07 +3.73 (+3.51%),3.73,+3.51%,598621,901577,7.537B,25.25,69.55%,
41,MRNA,"Moderna, Inc.",,36.90 +1.29 (+3.62%),1.29,+3.62%,6.123M,11.547M,14.237B,-,-68.20%,
42,RRC,Range Resources Corporation,,36.46 +1.24 (+3.52%),1.24,+3.52%,1.226M,2.734M,8.799B,33.45,7.77%,
43,PAYC,"Paycom Software, Inc.",,219.93 +7.28 (+3.43%),7.28,+3.43%,369916,612920,12.313B,24.63,15.46%,
44,CAG,"Conagra Brands, Inc.",,28.19 +0.97 (+3.54%),0.97,+3.54%,4.28M,5.714M,13.458B,27.37,-4.56%,
45,GIS,"General Mills, Inc.",,66.74 +2.24 (+3.47%),2.24,+3.47%,3.385M,4.883M,36.789B,14.51,-1.77%,
46,PPC,Pilgrim's Pride Corporation,,56.39 +1.77 (+3.24%),1.77,+3.24%,428182,1.171M,13.371B,12.34,66.22%,
47,AWK,"American Water Works Company, Inc.",,150.40 +5.00 (+3.44%),5.0,+3.44%,1.224M,1.32M,29.319B,27.90,20.83%,
48,CWEN,"Clearway Energy, Inc.",,28.50 +0.88 (+3.17%),0.88,+3.17%,626971,856917,5.625B,37.99,23.91%,
49,FND,"Floor & Decor Holdings, Inc.",,93.93 +2.72 (+2.98%),2.72,+2.98%,820972,1.642M,10.087B,49.43,-24.52%,
50,PCAR,PACCAR Inc,,113.51 +3.46 (+3.14%),3.46,+3.14%,2.153M,2.406M,59.573B,14.37,-3.48%,
51,OGN,Organon & Co.,,15.95 +0.51 (+3.30%),0.51,+3.30%,1.481M,3.58M,4.114B,4.79,-15.81%,
52,DVA,DaVita Inc.,,151.79 +4.77 (+3.24%),4.77,+3.24%,567522,865275,12.143B,14.15,8.25%,
53,EXEL,"Exelixis, Inc.",,39.89 +1.31 (+3.40%),1.31,+3.40%,1.472M,2.521M,11.164B,22.66,71.77%,
54,FIZZ,National Beverage Corp.,,42.23 +1.36 (+3.33%),1.36,+3.33%,111097,185420,3.954B,21.22,-15.87%,
55,ORA,"Ormat Technologies, Inc.",,72.85 +2.21 (+3.13%),2.21,+3.13%,339009,665472,4.407B,35.71,4.25%,
56,AR,Antero Resources Corporation,,34.68 +1.04 (+3.09%),1.04,+3.09%,3.911M,4.637M,10.792B,192.67,27.81%,
57,HSY,The Hershey Company,,190.98 +5.92 (+3.20%),5.92,+3.20%,1.063M,2.099M,38.655B,17.49,-7.01%,
58,LKQ,LKQ Corporation,,44.66 +1.28 (+2.95%),1.28,+2.95%,1.59M,2.364M,11.574B,16.98,-16.16%,
59,MOH,"Molina Healthcare, Inc.",,337.18 +9.85 (+3.01%),9.85,+3.01%,250205,731853,18.713B,16.50,-18.63%,
60,KVUE,Kenvue Inc.,,24.14 +0.72 (+3.05%),0.72,+3.05%,5.796M,13.716M,46.128B,44.69,16.23%,
61,TAP,Molson Coors Beverage Company,,63.78 +1.92 (+3.10%),1.92,+3.10%,1.432M,2.011M,12.927B,11.92,-6.20%,
