,Unnamed: 0,Volume,Last,Chg,% Chg
0,Firefly Neuroscience Inc. (AIFF),195.4M,8.4,5.3,170.97
1,Society Pass Inc. (SOPA),53.0M,5.73,3.13,120.38
2,Global Star Acquisition Inc. Cl A (GLST),100.3K,11.2,3.38,43.13
3,Lipella Pharmaceuticals Inc. (LIPO),40.0M,4.32,1.27,41.64
4,SelectQuote Inc. (SLQT),29.7M,5.73,1.35,30.82
5,Anterix Inc. (ATEX),861.9K,36.16,7.64,26.79
6,Genelux Corp. (GNLX),602.8K,5.66,1.09,23.85
7,MYT Netherlands Parent B.V. ADR (MYTE),437.5K,12.38,2.38,23.8
8,Dominari Holdings Inc. (DOMH),33.2M,7.46,1.3,21.1
9,Oramed Pharmaceuticals Inc. (ORMP),6.6M,2.6,0.43,19.82
10,Prairie Operating Co. (PROP),2.1M,8.81,1.32,17.62
11,GDS Holdings Ltd. ADR (GDS),6.9M,34.29,5.04,17.23
12,ZenaTech Inc. (ZENA),856.5K,5.62,0.82,17.08
13,GoHealth Inc. (GOCO),329.8K,18.99,2.7,16.57
14,U.S. GoldMining Inc. (USGO),225.3K,12.59,1.78,16.47
15,Anteris Technologies Global Corp. (AVR),210.5K,7.65,1.05,15.91
16,Jiuzi Holdings Inc. (JZXN),69.8K,3.76,0.51,15.69
17,Snail Inc. Cl A (SNAL),309.2K,3.14,0.41,15.02
18,SCHMID Group N.V. (SHMD),135.9K,2.59,0.33,14.6
19,Oncocyte Corp. (OCX),375.4K,2.37,0.3,14.49
20,Enanta Pharmaceuticals Inc. (ENTA),1.2M,5.59,0.69,14.08
21,Absci Corp. (ABSI),6.0M,4.91,0.58,13.39
22,Travere Therapeutics Inc. (TVTX),6.4M,23.75,2.65,12.56
23,Valneva SE ADR (VALN),77.0K,7.83,0.83,11.86
24,SuperCom Ltd. (SPCB),591.8K,10.98,1.14,11.59
25,U Power Ltd. Cl A (UCAR),113.4K,3.68,0.38,11.52
26,Yoshiharu Global Co. (YOSH),154.8K,8.8,0.9,11.39
27,Mainz Biomed N.V. (MYNZ),561.2K,7.89,0.8,11.28
28,Biohaven Ltd. (BHVN),2.7M,42.53,4.28,11.19
29,Insteel Industries Inc. (IIIN),290.8K,31.45,2.94,10.31
30,Apollo Commercial Real Estate Finance Inc. (ARI),3.5M,9.99,0.9,9.9
31,Callan JMB Inc. (CJMB),294.6K,5.28,0.47,9.86
32,Strattec Security Corp. (STRT),57.9K,46.91,4.09,9.55
33,BioCardia Inc. (BCDA),92.8K,2.51,0.21,9.13
34,PowerFleet Inc. (AIOT),6.9M,8.51,0.71,9.1
35,New Oriental Education & Technology Group Inc. ADR (EDU),4.6M,54.55,4.55,9.1
36,Perfect Corp. (PERF),509.5K,2.32,0.19,8.92
37,Allient Inc. (ALNT),131.7K,26.75,2.17,8.83
38,Bank of Butterfield Ltd. (NTB),398.0K,40.72,3.28,8.76
39,TIM S/A ADR (TIMB),918.1K,14.72,1.18,8.71
40,Digihost Technology Inc. (DGHI),1.7M,3.29,0.25,8.22
41,Papa John's International Inc. (PZZA),3.6M,41.76,3.12,8.07
42,MSP Recovery Inc. (MSPR),172.2K,2.71,0.2,7.97
43,Lattice Semiconductor Corp. (LSCC),7.0M,58.64,4.17,7.66
44,Watts Water Technologies Inc. Cl A (WTS),429.3K,224.67,15.92,7.63
45,Wheeler Real Estate Investment Trust Inc. (WHLR),204.7K,4.35,0.3,7.41
46,Chimerix Inc. (CMRX),2.1M,4.36,0.3,7.39
