,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRTO,Criteo S.A.,,46.03 +7.63 (+19.88%),7.63,+19.88%,262256,441008,2.54B,26.92,22.15%,
1,MRCY,"Mercury Systems, Inc.",,50.03 +7.94 (+18.86%),7.94,+18.86%,609367,485788,2.983B,-,56.68%,
2,MAT,"Mattel, Inc.",,21.24 +3.17 (+17.54%),3.17,+17.54%,3.27M,3.154M,7.155B,13.53,-5.48%,
3,KC,Kingsoft Cloud Holdings Limited,,17.16 +1.97 (+12.97%),1.97,+12.97%,2.973M,3.789M,4.43B,-,473.48%,
4,TEM,"Tempus AI, Inc.",,68.42 +6.57 (+10.62%),6.57,+10.62%,6.531M,5.679M,10.772B,-,52.89%,
5,JCI,Johnson Controls International plc,,86.27 +8.98 (+11.62%),8.98,+11.62%,2.177M,3.743M,56.95B,41.48,41.54%,
6,SKY,"Champion Homes, Inc.",,100.18 +7.43 (+8.01%),7.43,+8.01%,52506,849998,5.75B,38.83,18.38%,
7,ERJ,Embraer S.A.,,44.40 +4.55 (+11.42%),4.55,+11.42%,1.332M,1.07M,8.372B,16.38,134.10%,
8,GFF,Griffon Corporation,,83.59 +9.28 (+12.49%),9.28,+12.49%,107502,424074,4.017B,19.76,8.85%,
9,MWA,"Mueller Water Products, Inc.",,25.18 +2.10 (+9.10%),2.1,+9.10%,453099,1.177M,3.941B,34.03,66.98%,
10,SMCI,"Super Micro Computer, Inc.",,30.08 +0.92 (+3.16%),0.92,+3.16%,17.014M,69.744M,17.614B,14.97,-60.72%,
11,GBOOF,"Grupo Financiero Banorte, S.A.B. de C.V.",,7.23 +0.55 (+8.23%),0.55,+8.23%,198800,23738,20.339B,7.38,-32.96%,
12,SAN,"Banco Santander, S.A.",,5.56 +0.43 (+8.38%),0.43,+8.38%,2.487M,3.131M,84.569B,7.22,24.69%,
13,NOV,NOV Inc.,,15.90 +1.32 (+9.05%),1.32,+9.05%,1.569M,3.927M,6.186B,5.89,-16.87%,
14,GSK,GSK plc,,37.45 +2.61 (+7.50%),2.61,+7.50%,1.894M,5.091M,76.43B,24.80,-16.94%,
15,ATS,ATS Corporation,,28.77 +2.10 (+7.87%),2.1,+7.87%,26507,137828,2.787B,31.62,-39.77%,
16,ODFL,"Old Dominion Freight Line, Inc.",,197.00 +13.34 (+7.26%),13.34,+7.26%,658275,1.424M,42.059B,34.50,-15.81%,
17,OSCR,"Oscar Health, Inc.",,15.85 +0.57 (+3.76%),0.57,+3.76%,3.823M,4.185M,3.92B,-,24.91%,
18,NMR,"Nomura Holdings, Inc.",,6.83 +0.37 (+5.73%),0.37,+5.73%,238412,532652,20.183B,11.98,17.70%,
19,FI,"Fiserv, Inc.",,228.87 +14.65 (+6.85%),14.65,+6.85%,963228,2.687M,130.208B,44.18,51.79%,
20,TECH,Bio-Techne Corporation,,76.97 +4.42 (+6.12%),4.42,+6.12%,544527,919171,12.231B,81.03,8.57%,
21,SLAB,Silicon Laboratories Inc.,,143.26 +6.65 (+4.87%),6.65,+4.87%,37528,310377,4.648B,-,0.81%,
22,EA,Electronic Arts Inc.,,127.74 +6.49 (+5.35%),6.49,+5.35%,1.443M,2.737M,33.503B,32.50,-10.12%,
23,AMGN,Amgen Inc.,,304.33 +15.31 (+5.29%),15.31,+5.29%,1.116M,3.823M,163.585B,40.20,-2.37%,
24,CDW,CDW Corporation,,211.24 +11.90 (+5.97%),11.9,+5.97%,633893,1.385M,28.15B,25.85,-16.48%,
25,CDE,"Coeur Mining, Inc.",,7.24 +0.32 (+4.62%),0.32,+4.62%,1.512M,10.405M,2.891B,-,153.93%,
26,POWL,"Powell Industries, Inc.",,242.50 +9.36 (+4.01%),9.36,+4.01%,51095,500654,2.924B,19.73,78.50%,
27,NTDOY,"Nintendo Co., Ltd.",,17.37 +0.91 (+5.53%),0.91,+5.53%,10395,1.465M,82.378B,39.48,16.44%,
28,MRAAY,"Murata Manufacturing Co., Ltd.",,8.10 +0.39 (+5.06%),0.39,+5.06%,62678,655191,30.17B,22.50,-23.74%,
29,HIMS,"Hims & Hers Health, Inc.",,43.85 +2.01 (+4.79%),2.01,+4.79%,3.713M,15.991M,9.581B,99.67,312.39%,
30,RKT,"Rocket Companies, Inc.",,12.39 +0.22 (+1.81%),0.22,+1.81%,214344,3.473M,24.623B,-,6.00%,
31,DNNGY,Ørsted A/S,,13.08 +0.58 (+4.64%),0.58,+4.64%,4,123981,16.49B,23.78,-31.86%,
32,BE,Bloom Energy Corporation,,23.86 +0.75 (+3.27%),0.75,+3.27%,406722,9.33M,5.455B,-,108.58%,
33,HLNE,Hamilton Lane Incorporated,,169.31 +7.91 (+4.90%),7.91,+4.90%,106638,429755,9.386B,31.30,38.45%,
34,NVO,Novo Nordisk A/S,,86.17 +3.55 (+4.30%),3.55,+4.30%,3.435M,7.951M,384.319B,29.41,-30.35%,
35,THG,"The Hanover Insurance Group, Inc.",,159.20 +6.25 (+4.09%),6.25,+4.09%,47942,183193,5.737B,15.78,17.99%,
36,GFI,Gold Fields Limited,,18.27 +0.66 (+3.75%),0.66,+3.75%,609048,2.595M,16.352B,25.38,23.35%,
37,BNTX,BioNTech SE,,121.18 +4.04 (+3.44%),4.04,+3.44%,61213,840110,29.05B,-,26.06%,
38,IESC,"IES Holdings, Inc.",,225.98 +11.26 (+5.24%),11.26,+5.24%,41023,204215,4.521B,21.04,144.76%,
39,AGI,Alamos Gold Inc.,,22.31 +0.82 (+3.82%),0.82,+3.82%,355639,2.316M,9.376B,37.18,73.96%,
40,ASTS,"AST SpaceMobile, Inc.",,24.16 +1.07 (+4.65%),1.07,+4.65%,1.906M,9.39M,7.001B,-,724.18%,
41,MOD,Modine Manufacturing Company,,102.74 +4.23 (+4.31%),4.23,+4.31%,322054,842754,5.394B,33.80,40.65%,
42,VNET,"VNET Group, Inc.",,7.86 +0.32 (+4.24%),0.32,+4.24%,904696,3.415M,2.098B,-,354.09%,
43,CLS,Celestica Inc.,,133.87 +1.89 (+1.43%),1.89,+1.43%,1.356M,3.148M,15.542B,36.98,232.45%,
44,APAM,Artisan Partners Asset Management Inc.,,45.75 +1.18 (+2.65%),1.18,+2.65%,70779,410150,3.206B,12.71,2.72%,
45,AFRM,"Affirm Holdings, Inc.",,60.17 +0.64 (+1.07%),0.64,+1.07%,368609,8.304M,18.684B,-,34.23%,
46,NEM,Newmont Corporation,,44.98 +1.63 (+3.76%),1.63,+3.76%,1.936M,9.983M,51.207B,-,28.14%,
47,SLNO,"Soleno Therapeutics, Inc.",,51.46 +1.68 (+3.36%),1.68,+3.36%,49292,588276,2.219B,-,4.16%,
48,APLS,"Apellis Pharmaceuticals, Inc.",,30.03 +1.25 (+4.36%),1.25,+4.36%,53581,2.771M,3.736B,-,-57.29%,
49,VCEL,Vericel Corporation,,60.89 +1.46 (+2.46%),1.46,+2.46%,176237,412088,3.005B,761.12,33.53%,
50,PUBGY,Publicis Groupe S.A.,,28.16 +1.07 (+3.95%),1.07,+3.95%,100,73235,28.272B,16.66,4.58%,
51,ADYEY,Adyen N.V.,,16.48 +0.59 (+3.71%),0.59,+3.71%,36083,568227,51.888B,61.04,24.63%,
52,TKR,The Timken Company,,82.18 +3.27 (+4.14%),3.27,+4.14%,99401,562303,5.762B,17.05,-5.31%,
53,BEAM,Beam Therapeutics Inc.,,26.33 +0.58 (+2.25%),0.58,+2.25%,90520,1.166M,2.18B,-,-7.18%,
54,VRT,Vertiv Holdings Co,,115.21 +3.96 (+3.56%),3.96,+3.56%,1.487M,7.943M,43.241B,76.80,85.38%,
55,EGO,Eldorado Gold Corporation,,16.20 +0.67 (+4.31%),0.67,+4.31%,410503,1.257M,3.32B,11.49,23.44%,
56,RELY,"Remitly Global, Inc.",,24.76 +0.55 (+2.27%),0.55,+2.27%,380541,1.669M,4.904B,-,33.26%,
57,FN,Fabrinet,,213.13 +6.00 (+2.90%),6.0,+2.90%,174745,559949,7.67B,23.81,17.30%,
58,TM,Toyota Motor Corporation,,193.07 +5.51 (+2.94%),5.51,+2.94%,70105,408820,252.849B,9.46,-17.66%,
59,AEM,Agnico Eagle Mines Limited,,98.59 +3.00 (+3.14%),3.0,+3.14%,410486,1.894M,49.445B,49.79,99.71%,
60,DNLI,Denali Therapeutics Inc.,,24.02 +1.03 (+4.48%),1.03,+4.48%,31053,967671,3.457B,-,28.85%,
61,NXPI,NXP Semiconductors N.V.,,205.13 +2.73 (+1.35%),2.73,+1.35%,386986,2.435M,52.135B,21.06,-7.52%,
62,AMTM,"Amentum Holdings, Inc.",,21.79 +1.29 (+6.28%),1.29,+6.28%,708788,2.865M,5.301B,-,-30.87%,
63,WPM,Wheaton Precious Metals Corp.,,65.61 +1.59 (+2.48%),1.59,+2.48%,198992,1.561M,29.765B,48.96,36.22%,
64,AU,AngloGold Ashanti plc,,31.77 +0.91 (+2.95%),0.91,+2.95%,439466,3.219M,15.996B,23.89,74.89%,
65,ASND,Ascendis Pharma A/S,,122.28 +0.03 (+0.02%),0.03,+0.02%,43045,442166,7.313B,-,-10.19%,
66,HAS,"Hasbro, Inc.",,59.56 +2.41 (+4.23%),2.41,+4.23%,306938,1.5M,8.309B,-,13.51%,
67,COMP,"Compass, Inc.",,7.48 +0.24 (+3.31%),0.24,+3.31%,594784,4.525M,4.127B,-,94.29%,
68,MRVL,"Marvell Technology, Inc.",,113.32 +3.63 (+3.31%),3.63,+3.31%,1.934M,14.112M,98.056B,-,63.70%,
69,CRUS,"Cirrus Logic, Inc.",,104.97 +3.58 (+3.53%),3.58,+3.53%,229735,665864,5.578B,17.85,10.51%,
70,NVST,Envista Holdings Corporation,,20.65 +0.52 (+2.58%),0.52,+2.58%,155857,1.937M,3.554B,-,-17.41%,
