symbol,price,price_change,price_percent_change
AIFF,12.97,4.57,54.4
YOSH,13.45,4.65,52.84
CSAI,17.63,4.73,36.67
LTBR,14.6,3.76,34.69
UPST,88.77,21.43,31.82
ANAB,16.15,3.77,30.51
QMCO,23.23,5.42,30.43
INLF,5.99,1.36,29.37
NTRP,6.21,1.26,25.45
CFLT,37.65,7.55,25.08
BBAI,9.74,1.74,21.75
RPID,3.26,0.58,21.64
EH,25.14,4.43,21.39
GNSS,3.53,0.62,21.31
INBS,2.49,0.41,19.71
GRAL,39.26,6.11,18.43
ALTS,6.12,0.95,18.38
TTNP,4.14,0.62,17.61
JZXN,4.4,0.64,17.02
GRRR,24.2,3.43,16.51
IBIO,3.68,0.51,16.09
ARQT,13.21,1.81,15.88
CEAD,8.65,1.16,15.49
SHMD,2.99,0.4,15.44
SEZL,305.32,40.67,15.37
DGNX,47.6,6.26,15.14
CVS,63.22,8.22,14.95
ATAI,2.55,0.32,14.35
AQST,3.39,0.42,14.14
ELMD,33.28,4.08,13.97
RDW,24.99,3.06,13.95
PONY,16.0,1.91,13.56
VNET,11.31,1.34,13.44
QBTS,6.04,0.71,13.32
CPIX,5.2,0.6,13.04
MPAA,7.65,0.86,12.67
APPS,6.14,0.69,12.66
MPLN,27.03,3.03,12.62
HYMC,2.93,0.32,12.26
PRME,2.55,0.27,11.84
ACON,4.68,0.49,11.69
TIGR,8.32,0.87,11.68
PBI,9.76,1.02,11.67
CAPR,15.05,1.57,11.65
WOK,2.42,0.25,11.52
SPTN,20.97,2.14,11.36
INMB,9.13,0.88,10.67
IQ,2.53,0.24,10.48
BB,5.82,0.55,10.44
BCTX,3.78,0.35,10.2
BTAI,2.81,0.26,10.2
ESOA,11.03,1.02,10.19
EGHT,3.27,0.3,10.1
MLYS,10.63,0.97,10.04
CREX,2.64,0.24,10.0
REVB,4.25,0.38,9.82
CLMT,17.41,1.53,9.63
NVNO,3.32,0.29,9.57
LUCK,12.91,1.12,9.5
ZSPC,20.81,1.8,9.47
CHEF,59.61,5.13,9.42
FUTU,115.81,9.93,9.38
CRSP,43.3,3.68,9.29
MCY,54.74,4.65,9.28
THRD,3.55,0.3,9.23
ST,28.01,2.33,9.07
NVCT,6.86,0.57,9.06
RXRX,8.34,0.68,8.88
RDFN,8.64,0.69,8.68
SOWG,2.96,0.23,8.61
GFS,43.55,3.45,8.6
OKLO,54.38,4.3,8.59
BZUN,3.72,0.29,8.45
BZ,15.94,1.24,8.44
DTSS,2.34,0.18,8.15
TSSI,14.76,1.11,8.13
ORKA,11.87,0.89,8.11
ZYME,14.3,1.05,7.92
DSP,25.95,1.9,7.9
MCRI,92.57,6.76,7.88
PROP,9.5,0.69,7.83
PCLA,8.42,0.61,7.81
AGEN,3.46,0.25,7.79
SVM,3.47,0.25,7.76
AMWL,12.35,0.88,7.67
GNRC,152.45,10.71,7.56
HE,10.85,0.76,7.53
SWTX,59.28,4.15,7.53
NNE,34.62,2.42,7.52
KSPI,102.62,7.13,7.47
BFRG,3.24,0.23,7.46
GILD,103.31,7.17,7.46
REPL,13.79,0.94,7.32
INSG,13.62,0.92,7.24
GLPG,24.97,1.68,7.21
INTC,22.48,1.51,7.2
IRS,13.97,0.92,7.05
CKPT,3.35,0.22,7.03
JFIN,9.93,0.65,7.0
JVA,5.35,0.35,7.0
