symbol,price,price_change,price_percent_change
CRTO,46.03,7.63,19.88
MRCY,50.03,7.94,18.86
MAT,21.24,3.17,17.54
KC,17.16,1.97,12.97
TEM,68.42,6.57,10.62
JCI,86.27,8.98,11.62
SKY,100.18,7.43,8.01
ERJ,44.4,4.55,11.42
GFF,83.59,9.28,12.49
MWA,25.18,2.1,9.1
SMCI,30.08,0.92,3.16
GBOOF,7.23,0.55,8.23
SAN,5.56,0.43,8.38
NOV,15.9,1.32,9.05
GSK,37.45,2.61,7.5
ATS,28.77,2.1,7.87
ODFL,197.0,13.34,7.26
OSCR,15.85,0.57,3.76
NMR,6.83,0.37,5.73
FI,228.87,14.65,6.85
TECH,76.97,4.42,6.12
SLAB,143.26,6.65,4.87
EA,127.74,6.49,5.35
AMGN,304.33,15.31,5.29
CDW,211.24,11.9,5.97
CDE,7.24,0.32,4.62
POWL,242.5,9.36,4.01
NTDOY,17.37,0.91,5.53
MRAAY,8.1,0.39,5.06
HIMS,43.85,2.01,4.79
RKT,12.39,0.22,1.81
DNNGY,13.08,0.58,4.64
BE,23.86,0.75,3.27
HLNE,169.31,7.91,4.9
NVO,86.17,3.55,4.3
THG,159.2,6.25,4.09
GFI,18.27,0.66,3.75
BNTX,121.18,4.04,3.44
IESC,225.98,11.26,5.24
AGI,22.31,0.82,3.82
ASTS,24.16,1.07,4.65
MOD,102.74,4.23,4.31
VNET,7.86,0.32,4.24
CLS,133.87,1.89,1.43
APAM,45.75,1.18,2.65
AFRM,60.17,0.64,1.07
NEM,44.98,1.63,3.76
SLNO,51.46,1.68,3.36
APLS,30.03,1.25,4.36
VCEL,60.89,1.46,2.46
PUBGY,28.16,1.07,3.95
ADYEY,16.48,0.59,3.71
TKR,82.18,3.27,4.14
BEAM,26.33,0.58,2.25
VRT,115.21,3.96,3.56
EGO,16.2,0.67,4.31
RELY,24.76,0.55,2.27
FN,213.13,6.0,2.9
TM,193.07,5.51,2.94
AEM,98.59,3.0,3.14
DNLI,24.02,1.03,4.48
NXPI,205.13,2.73,1.35
AMTM,21.79,1.29,6.28
WPM,65.61,1.59,2.48
AU,31.77,0.91,2.95
ASND,122.28,0.03,0.02
HAS,59.56,2.41,4.23
COMP,7.48,0.24,3.31
MRVL,113.32,3.63,3.31
CRUS,104.97,3.58,3.53
NVST,20.65,0.52,2.58
NVDA,121.76,3.11,2.62
ACAD,19.33,0.6,3.2
RNA,34.0,0.66,1.98
IREN,10.96,0.28,2.63
KGC,11.81,0.34,3.01
RXRX,7.76,0.15,2.04
DOCN,41.97,1.15,2.8
HMC,28.42,0.88,3.2
CORZ,12.4,0.19,1.56
WU,10.73,0.35,3.37
TOST,40.06,0.81,2.08
LITE,88.2,1.87,2.17
XPO,134.8,3.3,2.51
QDEL,44.17,1.43,3.35
NVS,108.43,2.96,2.81
AVGO,229.78,7.35,3.3
DXC,22.47,-0.14,0.62
CNK,30.35,0.88,2.99
ADRNY,36.25,1.09,3.1
HL,6.05,0.16,2.8
TSCDY,14.13,0.19,1.36
WDAY,266.38,6.65,2.56
KNSL,467.66,10.37,2.27
SAIA,487.21,7.94,1.66
KD,41.01,1.09,2.73
